timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,event_name,stimulus_event
0.0000,0.0000,6.2368,1.0000,0.1200,NaN,NaN,NaN,0.2190,-0.3252,0.9199,0.2446,-0.3304,0.9116,0.3794,0.0033,0.0356,Normal,"VideoStart","clip=anim1 duration=236.57s"
0.0000,0.0000,5.7440,1.0000,0.0037,NaN,NaN,NaN,0.1177,-0.3615,0.9249,0.1431,-0.3671,0.9191,0.3907,0.0071,0.0352,Normal,,""
0.0200,0.0000,4.6430,1.0000,0.0008,NaN,NaN,NaN,0.1121,-0.2541,0.9607,0.1378,-0.2598,0.9558,0.3950,0.0088,0.0281,Normal,,""
0.2237,0.0000,4.2360,1.0000,0.0001,NaN,NaN,NaN,0.1062,-0.1706,0.9796,0.1322,-0.1753,0.9756,0.3934,0.0079,0.0291,Normal,,""
0.4316,0.0000,4.2678,1.0000,0.0000,NaN,NaN,NaN,0.1772,-0.1758,0.9683,0.2033,-0.1802,0.9624,0.3855,0.0074,0.0290,Normal,,""
0.6335,0.0000,4.5531,1.0000,0.0000,NaN,NaN,NaN,0.2785,-0.2305,0.9323,0.3042,-0.2345,0.9233,0.3843,0.0097,0.0275,Normal,,""
0.8402,0.0000,4.5899,1.0000,0.0000,NaN,NaN,NaN,0.2176,-0.3564,0.9086,0.2426,-0.3614,0.9003,0.3881,0.0109,0.0235,Normal,,""
1.0441,0.0000,4.4897,1.0000,0.0000,NaN,NaN,NaN,0.1554,-0.3850,0.9097,0.1800,-0.3913,0.9025,0.3905,0.0056,0.0230,Normal,,""
1.2539,0.0000,4.8807,1.0000,0.0000,NaN,NaN,NaN,0.2646,-0.3127,0.9123,0.2899,-0.3169,0.9031,0.3879,0.0091,0.0251,Normal,,""
1.4563,0.0000,4.8079,1.0000,0.0000,NaN,NaN,NaN,0.2717,-0.3259,0.9055,0.2968,-0.3298,0.8962,0.3832,0.0110,0.0241,Normal,,""
1.6619,0.0000,4.6420,1.0000,0.0000,NaN,NaN,NaN,0.1952,-0.2804,0.9398,0.2208,-0.2847,0.9328,0.3806,0.0143,0.0266,Normal,,""
1.8661,0.0000,4.8012,1.0000,0.0000,NaN,NaN,NaN,0.1330,-0.2266,0.9649,0.1586,-0.2315,0.9598,0.3856,0.0157,0.0230,Normal,,""
2.0680,0.0000,4.6456,1.0000,0.0000,NaN,NaN,NaN,0.1174,-0.1858,0.9755,0.1433,-0.1901,0.9713,0.3902,0.0131,0.0267,Normal,,""
2.2761,0.0000,5.0984,1.0000,0.0000,NaN,NaN,NaN,0.1105,-0.2040,0.9727,0.1362,-0.2081,0.9686,0.3885,0.0124,0.0288,Normal,,""
2.4780,0.0000,5.0777,1.0000,0.0000,NaN,NaN,NaN,0.2397,-0.1986,0.9503,0.2656,-0.2015,0.9428,0.3898,0.0109,0.0295,Normal,,""
2.6811,0.0000,4.8365,1.0000,0.0000,NaN,NaN,NaN,0.2416,-0.2640,0.9338,0.2668,-0.2700,0.9252,0.3978,0.0008,0.0255,Normal,,""
2.8901,0.0000,4.7850,1.0000,0.0000,NaN,NaN,NaN,0.7438,-0.4300,0.5117,0.7565,-0.4326,0.4905,0.4351,-0.0218,-0.0039,Normal,,""
3.0940,0.0000,4.9165,1.0000,0.0000,NaN,NaN,NaN,0.7558,-0.4878,0.4369,0.7666,-0.4915,0.4132,0.4647,-0.0333,-0.0349,Normal,,""
3.3005,0.0000,4.7064,1.0000,0.0000,NaN,NaN,NaN,0.7507,-0.5430,0.3763,0.7582,-0.5497,0.3507,0.4800,-0.0420,-0.0734,Normal,,""
3.5029,0.0000,4.8058,1.0000,0.0000,NaN,NaN,NaN,0.7456,-0.6374,0.1946,0.7485,-0.6414,0.1682,0.4951,-0.0472,-0.0907,Normal,,""
3.7077,0.0000,4.5718,1.0000,0.0000,NaN,NaN,NaN,0.7311,-0.6336,0.2532,0.7348,-0.6394,0.2266,0.5147,-0.0445,-0.1126,Normal,,""
3.9117,0.0000,4.7385,1.0000,0.0036,NaN,NaN,NaN,0.9206,-0.3093,0.2383,0.9252,-0.3143,0.2127,0.5276,-0.0162,-0.1285,Normal,,""
4.1155,0.0000,4.7308,1.0000,0.0006,NaN,NaN,NaN,0.8647,-0.2226,0.4503,0.8737,-0.2286,0.4294,0.5397,0.0035,-0.1242,Normal,,""
4.3226,0.0000,4.7721,1.0000,0.0000,NaN,NaN,NaN,0.8637,-0.2713,0.4248,0.8712,-0.2779,0.4048,0.5612,0.0047,-0.1305,Normal,,""
4.5240,0.0000,4.8800,1.0000,0.0000,NaN,NaN,NaN,0.8917,-0.3187,0.3214,0.8979,-0.3243,0.2978,0.5643,0.0092,-0.1124,Normal,,""
4.7299,0.0000,4.9429,1.0000,0.0000,NaN,NaN,NaN,0.8583,-0.3277,0.3948,0.8672,-0.3328,0.3703,0.5455,0.0161,-0.0713,Normal,,""
4.9325,0.0000,4.7334,1.0000,0.0278,NaN,NaN,NaN,0.1292,-0.2931,0.9473,0.1463,-0.3010,0.9423,0.4592,0.0162,0.0206,Normal,,""
5.1355,0.0000,5.0063,1.0000,0.0030,NaN,NaN,NaN,-0.2123,-0.3623,0.9076,-0.1920,-0.3715,0.9084,0.3560,0.0156,0.0739,Normal,,""
5.3392,0.0000,4.8235,1.0000,0.0002,NaN,NaN,NaN,-0.0710,-0.4261,0.9019,-0.0452,-0.4334,0.9001,0.2653,0.0122,0.0771,Normal,,""
5.5429,0.0000,4.7643,1.0000,0.0000,NaN,NaN,NaN,-0.0984,-0.3905,0.9153,-0.0720,-0.3971,0.9149,0.1938,0.0219,0.0421,Normal,,""
5.7465,0.0000,4.9848,1.0000,0.0000,NaN,NaN,NaN,-0.1770,-0.3734,0.9106,-0.1504,-0.3793,0.9130,0.1357,0.0271,0.0034,Normal,,""
5.9490,0.0000,5.1234,1.0000,0.0000,NaN,NaN,NaN,-0.2046,-0.4280,0.8803,-0.1782,-0.4335,0.8834,0.0987,0.0264,-0.0147,Normal,,""
6.1522,0.0000,5.3045,1.0000,0.0000,NaN,NaN,NaN,-0.0846,-0.3905,0.9167,-0.0579,-0.3945,0.9171,0.0903,0.0288,-0.0026,Normal,,""
6.3556,0.0000,5.3676,1.0000,0.0000,NaN,NaN,NaN,0.0125,-0.3716,0.9283,0.0388,-0.3747,0.9263,0.0757,0.0253,0.0575,Normal,,""
6.5584,0.0000,5.1873,1.0000,0.0000,NaN,NaN,NaN,-0.0098,-0.3691,0.9293,0.0164,-0.3720,0.9281,0.0334,0.0139,0.1737,Normal,,""
6.7622,0.0000,5.1451,1.0000,0.0000,NaN,NaN,NaN,-0.0847,-0.3983,0.9133,-0.0591,-0.4025,0.9135,-0.0425,0.0874,0.2952,Normal,,""
6.9664,0.0000,5.3394,1.0000,0.0000,NaN,NaN,NaN,-0.0164,-0.4702,0.8824,0.0089,-0.4751,0.8799,-0.1099,0.2162,0.3541,Normal,,""
7.1691,0.0000,5.5770,1.0000,0.0000,NaN,NaN,NaN,0.2080,-0.5281,0.8233,0.2319,-0.5320,0.8144,-0.1509,0.3583,0.4384,Normal,,""
7.3702,0.0000,5.4947,1.0000,0.0000,NaN,NaN,NaN,0.2031,-0.5411,0.8161,0.2267,-0.5456,0.8068,-0.1241,0.3811,0.5233,Normal,,""
7.5730,0.0000,5.4869,1.0000,0.0000,NaN,NaN,NaN,0.1425,-0.6081,0.7810,0.1662,-0.6121,0.7731,-0.0836,0.3845,0.6302,Normal,,""
7.7776,0.0000,5.5352,1.0000,0.0000,NaN,NaN,NaN,0.1528,-0.6930,0.7045,0.1758,-0.6964,0.6958,-0.0421,0.3828,0.7288,Normal,,""
7.9819,0.0000,5.6944,1.0000,0.0000,NaN,NaN,NaN,0.1835,-0.7089,0.6811,0.2059,-0.7123,0.6710,-0.0131,0.3651,0.8278,Normal,,""
8.1877,0.0000,5.6448,1.0000,0.0000,NaN,NaN,NaN,0.2274,-0.7503,0.6208,0.2484,-0.7539,0.6082,0.0037,0.3233,0.9995,Normal,,""
8.3873,0.0000,5.5571,1.0000,0.0000,NaN,NaN,NaN,0.2214,-0.8098,0.5434,0.2417,-0.8134,0.5292,0.0175,0.2764,1.1623,Normal,,""
8.5909,0.0000,5.5653,1.0000,0.0000,NaN,NaN,NaN,0.1903,-0.8370,0.5130,0.2103,-0.8408,0.4988,0.0408,0.2339,1.2524,Normal,,""
8.7936,0.0000,5.6455,1.0000,0.0000,NaN,NaN,NaN,0.1871,-0.8505,0.4915,0.2071,-0.8541,0.4772,0.0608,0.2039,1.2910,Normal,,""
8.9956,0.0000,5.9239,1.0000,0.0000,NaN,NaN,NaN,0.1568,-0.8502,0.5025,0.1767,-0.8545,0.4885,0.0950,0.1668,1.3352,Normal,,""
