timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,4.7932,6.0685,0.0000,0.0000,0.0985,-0.0881,0.9912,-0.1339,-0.0900,0.9869,-0.0150,-0.1052,0.9943,-0.1230,0.0214,0.6265,Dark,StimulusPresenter: Start()
0.0000,4.8230,6.0490,0.0000,0.0000,0.0722,-0.0923,0.9931,-0.1636,-0.0936,0.9821,-0.0435,-0.1094,0.9930,-0.1233,0.0217,0.6262,Dark,StimulusPresenter: Start()
0.0200,4.8230,6.0490,0.0000,0.0000,0.0722,-0.0922,0.9931,-0.1635,-0.0936,0.9821,-0.0435,-0.1094,0.9930,-0.1233,0.0217,0.6262,Dark,StimulusPresenter: Start()
0.0276,4.8352,6.0451,0.0000,0.0000,0.0533,-0.0954,0.9940,-0.1815,-0.0964,0.9787,-0.0623,-0.1123,0.9917,-0.1233,0.0218,0.6262,Dark,StimulusPresenter: Start()
0.0394,4.8447,6.0387,0.0000,0.0000,0.0442,-0.0971,0.9943,-0.1919,-0.0978,0.9765,-0.0722,-0.1140,0.9909,-0.1233,0.0218,0.6262,Dark,StimulusPresenter: Start()
0.0500,4.8463,6.0343,0.0000,0.0000,0.0315,-0.0996,0.9945,-0.2049,-0.1000,0.9737,-0.0854,-0.1164,0.9895,-0.1233,0.0218,0.6261,Dark,StimulusPresenter: Start()
0.0611,4.8429,6.0349,0.0000,0.0000,0.0127,-0.1031,0.9946,-0.2247,-0.1029,0.9690,-0.1051,-0.1198,0.9872,-0.1233,0.0218,0.6261,Dark,StimulusPresenter: Start()
0.0722,4.8394,6.0440,0.0000,0.0000,0.0068,-0.1039,0.9946,-0.2314,-0.1036,0.9673,-0.1115,-0.1206,0.9864,-0.1233,0.0218,0.6261,Dark,StimulusPresenter: Start()
0.0838,4.8323,6.0476,0.0000,0.0000,0.0043,-0.1044,0.9945,-0.2355,-0.1040,0.9663,-0.1149,-0.1212,0.9860,-0.1233,0.0218,0.6261,Dark,StimulusPresenter: Start()
0.0947,4.8292,6.0433,0.0000,0.0000,0.0004,-0.1052,0.9944,-0.2401,-0.1047,0.9651,-0.1192,-0.1221,0.9853,-0.1233,0.0218,0.6261,Dark,StimulusPresenter: Start()
