timestamp_sec,left_pupil_mm,right_pupil_mm,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z
0.0000,5.6088,5.5810,0.6828,-0.3235,0.6550,0.4975,-0.3061,0.8116,0.5953,-0.3286,0.7332,0.6798,-0.3735,-0.1698
0.0000,5.6038,5.5705,0.6869,-0.3180,0.6535,0.5032,-0.2985,0.8110,0.6001,-0.3220,0.7322,0.6809,-0.3725,-0.1703
0.0200,5.6450,5.5613,0.6887,-0.3129,0.6540,0.5063,-0.2932,0.8110,0.6026,-0.3167,0.7325,0.6811,-0.3724,-0.1703
0.0219,5.6450,5.5613,0.6930,-0.3170,0.6475,0.5120,-0.2968,0.8061,0.6075,-0.3207,0.7267,0.6816,-0.3726,-0.1701
0.0319,5.6351,5.5582,0.6936,-0.3159,0.6475,0.5129,-0.2955,0.8060,0.6082,-0.3194,0.7267,0.6817,-0.3726,-0.1700
0.0436,5.6298,5.5553,0.6941,-0.3151,0.6473,0.5137,-0.2945,0.8058,0.6089,-0.3185,0.7265,0.6817,-0.3725,-0.1698
0.0543,5.6253,5.5420,0.6947,-0.3143,0.6470,0.5146,-0.2936,0.8056,0.6096,-0.3177,0.7263,0.6817,-0.3725,-0.1696
0.0655,5.6190,5.5376,0.6955,-0.3128,0.6469,0.5156,-0.2920,0.8056,0.6105,-0.3161,0.7262,0.6817,-0.3724,-0.1693
0.0774,5.6198,5.5442,0.6960,-0.3121,0.6467,0.5161,-0.2913,0.8055,0.6110,-0.3154,0.7261,0.6817,-0.3724,-0.1691
0.0881,5.6206,5.5426,0.6963,-0.3121,0.6464,0.5165,-0.2914,0.8052,0.6114,-0.3154,0.7257,0.6816,-0.3724,-0.1688
0.0992,5.5981,5.5374,0.6964,-0.3120,0.6463,0.5167,-0.2915,0.8050,0.6115,-0.3154,0.7256,0.6815,-0.3725,-0.1686
0.1102,5.5856,5.5326,0.6976,-0.3118,0.6451,0.5173,-0.2913,0.8047,0.6125,-0.3153,0.7249,0.6814,-0.3726,-0.1684
0.1219,5.5757,5.5179,0.6983,-0.3120,0.6442,0.5177,-0.2917,0.8043,0.6131,-0.3156,0.7242,0.6813,-0.3728,-0.1681
0.1322,5.5712,5.5026,0.6997,-0.3119,0.6428,0.5175,-0.2916,0.8045,0.6138,-0.3157,0.7236,0.6811,-0.3730,-0.1679
0.1433,5.5752,5.5001,0.7008,-0.3119,0.6416,0.5178,-0.2917,0.8042,0.6146,-0.3158,0.7229,0.6809,-0.3732,-0.1677
0.1552,5.5788,5.5013,0.7012,-0.3120,0.6410,0.5182,-0.2918,0.8040,0.6150,-0.3159,0.7225,0.6807,-0.3734,-0.1675
0.1659,5.5789,5.4998,0.7020,-0.3117,0.6403,0.5187,-0.2916,0.8037,0.6157,-0.3157,0.7220,0.6805,-0.3736,-0.1672
0.1769,5.5766,5.4964,0.7024,-0.3115,0.6399,0.5189,-0.2915,0.8036,0.6160,-0.3156,0.7217,0.6803,-0.3739,-0.1670
0.1881,5.5744,5.4894,0.7027,-0.3113,0.6398,0.5194,-0.2914,0.8033,0.6164,-0.3154,0.7215,0.6801,-0.3741,-0.1668
