timestamp_sec,left_pupil_mm,right_pupil_mm,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition
0.0000,5.8302,4.9151,-0.8761,-0.2233,0.4272,-0.9486,-0.1817,0.2590,-0.9157,-0.2042,0.3461,0.5149,-0.4482,0.2166,Dark
0.0000,5.8302,4.9151,-0.8864,-0.2202,0.4073,-0.9551,-0.1740,0.2399,-0.9241,-0.1988,0.3265,0.5123,-0.4494,0.2337,Dark
0.0200,5.8302,4.9151,-0.8864,-0.2200,0.4073,-0.9551,-0.1739,0.2400,-0.9241,-0.1986,0.3266,0.5123,-0.4492,0.2333,Dark
0.0257,5.8302,4.9151,-0.8870,-0.2191,0.4065,-0.9554,-0.1730,0.2392,-0.9245,-0.1977,0.3258,0.5121,-0.4492,0.2338,Dark
0.0373,5.8302,4.9151,-0.8877,-0.2180,0.4055,-0.9558,-0.1722,0.2381,-0.9251,-0.1968,0.3247,0.5119,-0.4489,0.2340,Dark
0.0481,5.8302,4.9151,-0.8885,-0.2166,0.4046,-0.9563,-0.1713,0.2371,-0.9257,-0.1956,0.3238,0.5116,-0.4485,0.2339,Dark
0.0598,5.8302,4.9151,-0.8892,-0.2145,0.4041,-0.9567,-0.1699,0.2365,-0.9262,-0.1939,0.3232,0.5113,-0.4480,0.2338,Dark
0.0703,5.8302,4.9151,-0.8897,-0.2124,0.4040,-0.9570,-0.1683,0.2363,-0.9267,-0.1920,0.3231,0.5110,-0.4475,0.2338,Dark
0.0816,5.8302,4.9151,-0.8902,-0.2107,0.4040,-0.9573,-0.1669,0.2361,-0.9271,-0.1904,0.3230,0.5106,-0.4469,0.2336,Dark
0.0926,5.8302,4.9151,-0.8906,-0.2090,0.4038,-0.9576,-0.1655,0.2360,-0.9274,-0.1889,0.3228,0.5101,-0.4463,0.2335,Dark
0.1035,5.8302,4.9151,-0.8910,-0.2074,0.4039,-0.9578,-0.1640,0.2361,-0.9277,-0.1873,0.3229,0.5096,-0.4454,0.2333,Dark
0.1149,5.8302,4.9151,-0.8912,-0.2064,0.4038,-0.9580,-0.1631,0.2360,-0.9279,-0.1864,0.3228,0.5090,-0.4443,0.2335,Dark
0.1259,5.8302,4.9151,-0.8916,-0.2058,0.4033,-0.9582,-0.1628,0.2354,-0.9282,-0.1858,0.3222,0.5084,-0.4434,0.2333,Dark
0.1375,5.8302,4.9151,-0.8921,-0.2065,0.4018,-0.9584,-0.1639,0.2337,-0.9286,-0.1868,0.3207,0.5077,-0.4424,0.2333,Dark
0.1484,5.8302,4.9151,-0.8927,-0.2078,0.4000,-0.9586,-0.1652,0.2318,-0.9290,-0.1881,0.3188,0.5070,-0.4414,0.2329,Dark
0.1594,5.8302,4.9151,-0.8934,-0.2088,0.3978,-0.9590,-0.1664,0.2295,-0.9295,-0.1892,0.3165,0.5062,-0.4404,0.2325,Dark
0.1705,5.8302,4.9151,-0.8946,-0.2097,0.3946,-0.9596,-0.1676,0.2260,-0.9304,-0.1902,0.3132,0.5053,-0.4392,0.2322,Dark
0.1822,5.8302,4.9151,-0.8958,-0.2109,0.3912,-0.9602,-0.1693,0.2222,-0.9314,-0.1917,0.3095,0.5046,-0.4382,0.2317,Dark
0.1928,5.8302,4.9151,-0.8972,-0.2123,0.3873,-0.9608,-0.1711,0.2180,-0.9324,-0.1933,0.3055,0.5039,-0.4372,0.2312,Dark
0.2044,5.8302,4.9151,-0.8984,-0.2139,0.3836,-0.9614,-0.1729,0.2141,-0.9333,-0.1950,0.3017,0.5032,-0.4362,0.2307,Dark
0.2152,5.8302,4.9151,-0.8996,-0.2160,0.3796,-0.9620,-0.1750,0.2099,-0.9341,-0.1971,0.2975,0.5027,-0.4354,0.2303,Dark
0.2267,5.8302,4.9151,-0.9004,-0.2183,0.3764,-0.9623,-0.1771,0.2064,-0.9347,-0.1993,0.2942,0.5022,-0.4347,0.2298,Dark
0.2377,5.8302,4.9151,-0.9012,-0.2203,0.3732,-0.9626,-0.1790,0.2032,-0.9353,-0.2013,0.2910,0.5017,-0.4339,0.2294,Dark
0.2487,5.8302,4.9151,-0.9017,-0.2226,0.3707,-0.9628,-0.1812,0.2006,-0.9356,-0.2035,0.2884,0.5014,-0.4334,0.2291,Dark
0.2599,5.8302,4.9151,-0.9019,-0.2251,0.3687,-0.9628,-0.1836,0.1985,-0.9357,-0.2060,0.2863,0.5010,-0.4329,0.2288,Dark
0.2707,5.8302,4.9151,-0.9022,-0.2274,0.3665,-0.9628,-0.1858,0.1963,-0.9359,-0.2083,0.2841,0.5007,-0.4323,0.2285,Dark
0.2829,5.8302,4.9151,-0.9023,-0.2297,0.3649,-0.9627,-0.1882,0.1945,-0.9359,-0.2106,0.2825,0.5005,-0.4320,0.2283,Dark
0.2938,5.8302,4.9151,-0.9026,-0.2319,0.3626,-0.9627,-0.1905,0.1921,-0.9361,-0.2129,0.2801,0.5001,-0.4316,0.2279,Dark
0.3041,5.8302,4.9151,-0.9031,-0.2342,0.3599,-0.9628,-0.1929,0.1892,-0.9364,-0.2152,0.2773,0.4998,-0.4314,0.2277,Dark
0.3163,5.8302,4.9151,-0.9037,-0.2362,0.3572,-0.9629,-0.1951,0.1864,-0.9367,-0.2173,0.2745,0.4993,-0.4312,0.2274,Dark
0.3285,5.8302,4.9151,-0.9043,-0.2377,0.3546,-0.9631,-0.1969,0.1836,-0.9371,-0.2190,0.2718,0.4988,-0.4311,0.2271,Dark
0.3401,5.8302,4.9151,-0.9038,-0.2349,0.3578,-0.9630,-0.1939,0.1869,-0.9368,-0.2161,0.2751,0.4994,-0.4316,0.2276,Dark
0.3601,5.8302,4.9151,-0.9050,-0.2365,0.3536,-0.9635,-0.1957,0.1824,-0.9377,-0.2178,0.2707,0.4982,-0.4310,0.2272,Dark
0.3738,5.8302,4.9151,-0.9059,-0.2362,0.3514,-0.9640,-0.1956,0.1800,-0.9384,-0.2176,0.2684,0.4975,-0.4306,0.2272,Dark
0.3837,5.8302,4.9151,-0.9067,-0.2358,0.3497,-0.9644,-0.1953,0.1782,-0.9390,-0.2172,0.2667,0.4968,-0.4302,0.2271,Dark
